Wk,Day,Date,Time,Home,Score,Away,Attendance,Venue,Referee,Match Report,Notes
14,Tue,02/12/2025,19:30,Bournemouth,0–1,Everton,"11,161",Vitality Stadium,Michael Salisbury,Match Report,
14,Tue,02/12/2025,19:30,Fulham,4–5,Manchester City,"26,700",Craven Cottage,Craig Pawson,Match Report,
14,Tue,02/12/2025,20:15,Newcastle United,2–2,Tottenham Hotspur,"52,007",St James' Park,Thomas Bramall,Match Report,
14,Wed,03/12/2025,19:30,Wolves,0–1,Nottingham Forest,"28,646",Molineux Stadium,Tim Robinson,Match Report,
14,Wed,03/12/2025,19:30,Burnley,0–1,Crystal Palace,"19,365",Turf Moor,Thomas Kirk,Match Report,
14,Wed,03/12/2025,19:30,Arsenal,2–0,Brentford,"60,110",Emirates Stadium,Tony Harrington,Match Report,
14,Wed,03/12/2025,19:30,Brighton,3–4,Aston Villa,"31,247",The American Express Stadium,Andy Madley,Match Report,
14,Wed,03/12/2025,20:15,Leeds United,3–1,Chelsea,"36,767",Elland Road,Darren England,Match Report,
14,Wed,03/12/2025,20:15,Liverpool,1–1,Sunderland,"60,146",Anfield,Stuart Attwell,Match Report,
14,Thu,04/12/2025,20:00,Manchester Utd,1–1,West Ham United,"73,938",Old Trafford,Andrew Kitchen,Match Report,
