Wk,Day,Date,Time,Home,xG,Score,xG,Away,Attendance,Venue,Referee,Match Report,Notes
4,Sat,13/09/2025,12:30,Arsenal,1.8,3–0,0.2,Nott'ham Forest,"60,167",Emirates Stadium,Darren England,Match Report,
4,Sat,13/09/2025,15:00,Newcastle Utd,1.5,1–0,0.5,Wolves,"52,145",St James' Park,Chris Kavanagh,Match Report,
4,Sat,13/09/2025,15:00,Fulham,0.9,1–0,0.8,Leeds United,"27,327",Craven Cottage,Craig Pawson,Match Report,
4,Sat,13/09/2025,15:00,Crystal Palace,1.8,0–0,0.4,Sunderland,"25,154",Selhurst Park,Thomas Bramall,Match Report,
4,Sat,13/09/2025,15:00,Everton,2,0–0,0.4,Aston Villa,"52,114",Hill Dickinson Stadium,Simon Hooper,Match Report,
4,Sat,13/09/2025,15:00,Bournemouth,1.4,2–1,0.6,Brighton,"11,167",Vitality Stadium,Peter Bankes,Match Report,
4,Sat,13/09/2025,17:30,West Ham,0.6,0–3,1.3,Tottenham,"62,459",London Stadium,Jarred Gillett,Match Report,
4,Sat,13/09/2025,20:00,Brentford,1.4,2–2,1.3,Chelsea,"16,795",Gtech Community Stadium,Stuart Attwell,Match Report,
4,Sun,14/09/2025,14:00,Burnley,0.1,0–1,2.6,Liverpool,"21,678",Turf Moor,Michael Oliver,Match Report,
4,Sun,14/09/2025,16:30,Manchester City,2.7,3–0,1.2,Manchester Utd,"52,534",Etihad Stadium,Anthony Taylor,Match Report,
