Wk,Day,Date,Time,Home,Score,Away,Attendance,Venue,Referee,Match Report,Notes
29,Tue,03/03/2026,19:30,Bournemouth,0–0,Brentford,"11,108",Vitality Stadium,Craig Pawson,Match Report,
29,Tue,03/03/2026,19:30,Leeds United,0–1,Sunderland,"36,713",Elland Road,Stuart Attwell,Match Report,
29,Tue,03/03/2026,19:30,Everton,2–0,Burnley,"51,959",Hill Dickinson Stadium,Tim Robinson,Match Report,
29,Tue,03/03/2026,20:15,Wolves,2–1,Liverpool,"30,247",Molineux Stadium,Thomas Bramall,Match Report,
29,Wed,04/03/2026,19:30,Brighton,0–1,Arsenal,"31,575",The American Express Stadium,Chris Kavanagh,Match Report,
29,Wed,04/03/2026,19:30,Manchester City,2–2,Nottingham Forest,"51,965",Etihad Stadium,Darren England,Match Report,
29,Wed,04/03/2026,19:30,Fulham,0–1,West Ham United,"27,191",Craven Cottage,Matt Donohue,Match Report,
29,Wed,04/03/2026,19:30,Aston Villa,1–4,Chelsea,"42,084",Villa Park,Jarred Gillett,Match Report,
29,Wed,04/03/2026,20:15,Newcastle United,2–1,Manchester Utd,"52,184",St James' Park,Peter Bankes,Match Report,
29,Thu,05/03/2026,20:00,Tottenham Hotspur,1–3,Crystal Palace,"60,213",Tottenham Hotspur Stadium,Andy Madley,Match Report,
