Wk,Day,Date,Time,Home,xG,Score,xG,Away,Attendance,Venue,Referee,Match Report,Notes
5,Sat,20/09/2025,12:30,Liverpool,0.9,2–1,0.7,Everton,"60,342",Anfield,Darren England,Match Report,
5,Sat,20/09/2025,15:00,Wolves,1.8,1–3,0.5,Leeds United,"30,807",Molineux Stadium,Anthony Taylor,Match Report,
5,Sat,20/09/2025,15:00,Brighton,1.3,2–2,1.2,Tottenham,"31,488",The American Express Stadium,Chris Kavanagh,Match Report,
5,Sat,20/09/2025,15:00,Burnley,0.9,1–1,1.1,Nott'ham Forest,"21,475",Turf Moor,Thomas Bramall,Match Report,
5,Sat,20/09/2025,15:00,West Ham,0.6,1–2,2.1,Crystal Palace,"62,455",London Stadium,Tony Harrington,Match Report,
5,Sat,20/09/2025,17:30,Manchester Utd,1.8,2–1,0.4,Chelsea,"74,124",Old Trafford,Peter Bankes,Match Report,
5,Sat,20/09/2025,20:00,Fulham,1,3–1,0.6,Brentford,"26,113",Craven Cottage,Michael Oliver,Match Report,
5,Sun,21/09/2025,14:00,Bournemouth,0.5,0–0,0.2,Newcastle Utd,"11,212",Vitality Stadium,Robert Jones,Match Report,
5,Sun,21/09/2025,14:00,Sunderland,1,1–1,0.8,Aston Villa,"46,261",Stadium of Light,Samuel Barrott,Match Report,
5,Sun,21/09/2025,16:30,Arsenal,0.9,1–1,0.9,Manchester City,"60,161",Emirates Stadium,Stuart Attwell,Match Report,
