Wk,Day,Date,Time,Home,Score,Away,Attendance,Venue,Referee,Match Report,Notes
12,Sat,22/11/2025,12:30,Burnley,0–2,Chelsea,"21,499",Turf Moor,Peter Bankes,Match Report,
12,Sat,22/11/2025,15:00,Bournemouth,2–2,West Ham United,"11,216",Vitality Stadium,Thomas Bramall,Match Report,
12,Sat,22/11/2025,15:00,Fulham,1–0,Sunderland,"27,560",Craven Cottage,Darren England,Match Report,
12,Sat,22/11/2025,15:00,Wolves,0–2,Crystal Palace,"29,976",Molineux Stadium,Anthony Taylor,Match Report,
12,Sat,22/11/2025,15:00,Liverpool,0–3,Nottingham Forest,"60,419",Anfield,Andy Madley,Match Report,
12,Sat,22/11/2025,15:00,Brighton,2–1,Brentford,"31,458",The American Express Stadium,Chris Kavanagh,Match Report,
12,Sat,22/11/2025,17:30,Newcastle United,2–1,Manchester City,"52,181",St James' Park,Samuel Barrott,Match Report,
12,Sun,23/11/2025,14:00,Leeds United,1–2,Aston Villa,"36,819",Elland Road,Robert Jones,Match Report,
12,Sun,23/11/2025,16:30,Arsenal,4–1,Tottenham Hotspur,"60,345",Emirates Stadium,Michael Oliver,Match Report,
12,Mon,24/11/2025,20:00,Manchester Utd,0–1,Everton,"74,158",Old Trafford,Tony Harrington,Match Report,
