Wk,Day,Date,Time,Home,xG,Score,xG,Away,Attendance,Venue,Referee,Match Report,Notes
11,Sat,08/11/2025,12:30,Tottenham,,2–2,,Manchester Utd,"61,210",Tottenham Hotspur Stadium,Samuel Barrott,Match Report,
11,Sat,08/11/2025,15:00,West Ham,,3–2,,Burnley,"62,449",London Stadium,Michael Salisbury,Match Report,
11,Sat,08/11/2025,15:00,Everton,,2–0,,Fulham,"52,491",Hill Dickinson Stadium,Andy Madley,Match Report,
11,Sat,08/11/2025,17:30,Sunderland,,2–2,,Arsenal,"46,799",Stadium of Light,Craig Pawson,Match Report,
11,Sat,08/11/2025,20:00,Chelsea,,3–0,,Wolves,"39,467",Stamford Bridge,Andrew Kitchen,Match Report,
11,Sun,09/11/2025,14:00,Aston Villa,,4–0,,Bournemouth,"40,792",Villa Park,John Brooks,Match Report,
11,Sun,09/11/2025,14:00,Nott'ham Forest,,3–1,,Leeds United,"30,708",The City Ground,Jarred Gillett,Match Report,
11,Sun,09/11/2025,14:00,Crystal Palace,,0–0,,Brighton,"24,326",Selhurst Park,Tim Robinson,Match Report,
11,Sun,09/11/2025,14:00,Brentford,,3–1,,Newcastle Utd,"17,207",Gtech Community Stadium,Stuart Attwell,Match Report,
11,Sun,09/11/2025,16:30,Manchester City,,3–0,,Liverpool,"52,432",Etihad Stadium,Chris Kavanagh,Match Report,
