Wk,Day,Date,Time,Home,Score,Away,Attendance,Venue,Referee,Match Report,Notes
19,Tue,30/12/2025,19:30,Burnley,1–3,Newcastle United,"21,020",Turf Moor,Robert Jones,Match Report,
19,Tue,30/12/2025,19:30,Nottingham Forest,0–2,Everton,"30,617",The City Ground,Michael Oliver,Match Report,
19,Tue,30/12/2025,19:30,West Ham United,2–2,Brighton,"62,464",London Stadium,Michael Salisbury,Match Report,
19,Tue,30/12/2025,19:30,Chelsea,2–2,Bournemouth,"39,765",Stamford Bridge,Samuel Barrott,Match Report,
19,Tue,30/12/2025,20:15,Arsenal,4–1,Aston Villa,"60,279",Emirates Stadium,Darren England,Match Report,
19,Tue,30/12/2025,20:15,Manchester Utd,1–1,Wolves,"73,589",Old Trafford,Thomas Bramall,Match Report,
19,Thu,01/01/2026,17:30,Liverpool,0–0,Leeds United,"60,343",Anfield,Chris Kavanagh,Match Report,
19,Thu,01/01/2026,17:30,Crystal Palace,1–1,Fulham,"25,111",Selhurst Park,Tony Harrington,Match Report,
19,Thu,01/01/2026,20:00,Sunderland,0–0,Manchester City,"46,920",Stadium of Light,Jarred Gillett,Match Report,
19,Thu,01/01/2026,20:00,Brentford,0–0,Tottenham Hotspur,"17,141",Gtech Community Stadium,Andy Madley,Match Report,
