Wk,Day,Date,Time,Home,Score,Away,Attendance,Venue,Referee,Match Report,Notes
15,Sat,06/12/2025,12:30,Aston Villa,2–1,Arsenal,"42,888",Villa Park,Peter Bankes,Match Report,
15,Sat,06/12/2025,15:00,Newcastle United,2–1,Burnley,"52,041",St James' Park,Stuart Attwell,Match Report,
15,Sat,06/12/2025,15:00,Manchester City,3–0,Sunderland,"52,436",Etihad Stadium,Andy Madley,Match Report,
15,Sat,06/12/2025,15:00,Everton,3–0,Nottingham Forest,"52,501",Hill Dickinson Stadium,Chris Kavanagh,Match Report,
15,Sat,06/12/2025,15:00,Tottenham Hotspur,2–0,Brentford,"60,759",Tottenham Hotspur Stadium,Robert Jones,Match Report,
15,Sat,06/12/2025,15:00,Bournemouth,0–0,Chelsea,"11,240",Vitality Stadium,Michael Oliver,Match Report,
15,Sat,06/12/2025,17:30,Leeds United,3–3,Liverpool,"36,842",Elland Road,Anthony Taylor,Match Report,
15,Sun,07/12/2025,14:00,Brighton,1–1,West Ham United,"31,293",The American Express Stadium,Simon Hooper,Match Report,
15,Sun,07/12/2025,16:30,Fulham,1–2,Crystal Palace,"27,283",Craven Cottage,Samuel Barrott,Match Report,
15,Mon,08/12/2025,20:00,Wolves,1–4,Manchester Utd,"30,338",Molineux Stadium,Michael Salisbury,Match Report,
