Wk,Day,Date,Time,Home,Score,Away,Attendance,Venue,Referee,Match Report,Notes
17,Sat,20/12/2025,12:30,Newcastle United,2–2,Chelsea,"52,226",St James' Park,Andy Madley,Match Report,
17,Sat,20/12/2025,15:00,Wolves,0–2,Brentford,"27,662",Molineux Stadium,Matt Donohue,Match Report,
17,Sat,20/12/2025,15:00,Brighton,0–0,Sunderland,"31,426",The American Express Stadium,Darren England,Match Report,
17,Sat,20/12/2025,15:00,Bournemouth,1–1,Burnley,"10,762",Vitality Stadium,Chris Kavanagh,Match Report,
17,Sat,20/12/2025,15:00,Manchester City,3–0,West Ham United,"52,454",Etihad Stadium,Paul Tierney,Match Report,
17,Sat,20/12/2025,17:30,Tottenham Hotspur,1–2,Liverpool,"61,138",Tottenham Hotspur Stadium,John Brooks,Match Report,
17,Sat,20/12/2025,20:00,Everton,0–1,Arsenal,"52,513",Hill Dickinson Stadium,Samuel Barrott,Match Report,
17,Sat,20/12/2025,20:00,Leeds United,4–1,Crystal Palace,"36,334",Elland Road,Thomas Bramall,Match Report,
17,Sun,21/12/2025,16:30,Aston Villa,2–1,Manchester Utd,"43,157",Villa Park,Michael Oliver,Match Report,
17,Mon,22/12/2025,20:00,Fulham,1–0,Nottingham Forest,"26,647",Craven Cottage,Anthony Taylor,Match Report,
