Wk,Day,Date,Time,Home,Score,Away,Attendance,Venue,Referee,Match Report,Notes
16,Sat,13/12/2025,15:00,Chelsea,2–0,Everton,"39,552",Stamford Bridge,Thomas Bramall,Match Report,
16,Sat,13/12/2025,15:00,Liverpool,2–0,Brighton,"60,429",Anfield,Craig Pawson,Match Report,
16,Sat,13/12/2025,17:30,Burnley,2–3,Fulham,"19,739",Turf Moor,Michael Oliver,Match Report,
16,Sat,13/12/2025,20:00,Arsenal,2–1,Wolves,"60,242",Emirates Stadium,Robert Jones,Match Report,
16,Sun,14/12/2025,14:00,Sunderland,1–0,Newcastle United,"47,158",Stadium of Light,Peter Bankes,Match Report,
16,Sun,14/12/2025,14:00,West Ham United,2–3,Aston Villa,"62,447",London Stadium,Anthony Taylor,Match Report,
16,Sun,14/12/2025,14:00,Crystal Palace,0–3,Manchester City,"25,166",Selhurst Park,Darren England,Match Report,
16,Sun,14/12/2025,14:00,Nottingham Forest,3–0,Tottenham Hotspur,"30,579",The City Ground,Samuel Barrott,Match Report,
16,Sun,14/12/2025,16:30,Brentford,1–1,Leeds United,"17,159",Gtech Community Stadium,John Brooks,Match Report,
16,Mon,15/12/2025,20:00,Manchester Utd,4–4,Bournemouth,"73,951",Old Trafford,Simon Hooper,Match Report,
