Wk,Day,Date,Time,Home,Score,Away,Attendance,Venue,Referee,Match Report,Notes
27,Sat,21/02/2026,15:00,Chelsea,1–1,Burnley,"39,603",Stamford Bridge,Lewis Smith,Match Report,
27,Sat,21/02/2026,15:00,Brentford,0–2,Brighton,"17,163",Gtech Community Stadium,Jarred Gillett,Match Report,
27,Sat,21/02/2026,15:00,Aston Villa,1–1,Leeds United,"43,048",Villa Park,Michael Oliver,Match Report,
27,Sat,21/02/2026,17:30,West Ham United,0–0,Bournemouth,"62,437",London Stadium,Samuel Barrott,Match Report,
27,Sat,21/02/2026,20:00,Manchester City,2–1,Newcastle United,"52,187",Etihad Stadium,Thomas Bramall,Match Report,
27,Sun,22/02/2026,14:00,Sunderland,1–3,Fulham,"47,222",Stadium of Light,Craig Pawson,Match Report,
27,Sun,22/02/2026,14:00,Nottingham Forest,0–1,Liverpool,"30,737",The City Ground,Anthony Taylor,Match Report,
27,Sun,22/02/2026,14:00,Crystal Palace,1–0,Wolves,"24,547",Selhurst Park,Thomas Kirk,Match Report,
27,Sun,22/02/2026,16:30,Tottenham Hotspur,1–4,Arsenal,"61,439",Tottenham Hotspur Stadium,Peter Bankes,Match Report,
27,Mon,23/02/2026,20:00,Everton,0–1,Manchester Utd,"52,326",Hill Dickinson Stadium,Darren England,Match Report,
