Wk,Day,Date,Time,Home,Score,Away,Attendance,Venue,Referee,Match Report,Notes
24,Sat,31/01/2026,15:00,Wolves,0–2,Bournemouth,"30,161",Molineux Stadium,Michael Oliver,Match Report,
24,Sat,31/01/2026,15:00,Leeds United,0–4,Arsenal,"36,858",Elland Road,Stuart Attwell,Match Report,
24,Sat,31/01/2026,15:00,Brighton,1–1,Everton,"31,419",The American Express Stadium,Chris Kavanagh,Match Report,
24,Sat,31/01/2026,17:30,Chelsea,3–2,West Ham United,"39,361",Stamford Bridge,Anthony Taylor,Match Report,
24,Sat,31/01/2026,20:00,Liverpool,4–1,Newcastle United,"60,416",Anfield,Simon Hooper,Match Report,
24,Sun,01/02/2026,14:00,Aston Villa,0–1,Brentford,"41,415",Villa Park,Tim Robinson,Match Report,
24,Sun,01/02/2026,14:00,Nottingham Forest,1–1,Crystal Palace,"30,334",The City Ground,Tony Harrington,Match Report,
24,Sun,01/02/2026,14:00,Manchester Utd,3–2,Fulham,"73,895",Old Trafford,John Brooks,Match Report,
24,Sun,01/02/2026,16:30,Tottenham Hotspur,2–2,Manchester City,"61,337",Tottenham Hotspur Stadium,Robert Jones,Match Report,
24,Mon,02/02/2026,20:00,Sunderland,3–0,Burnley,"46,370",Stadium of Light,Paul Tierney,Match Report,
