Wk,Day,Date,Time,Home,Score,Away,Attendance,Venue,Referee,Match Report,Notes
23,Sat,24/01/2026,12:30,West Ham United,3–1,Sunderland,"62,456",London Stadium,Thomas Bramall,Match Report,
23,Sat,24/01/2026,15:00,Manchester City,2–0,Wolves,"52,469",Etihad Stadium,Farai Hallam,Match Report,
23,Sat,24/01/2026,15:00,Burnley,2–2,Tottenham Hotspur,"21,618",Turf Moor,Peter Bankes,Match Report,
23,Sat,24/01/2026,15:00,Fulham,2–1,Brighton,"27,239",Craven Cottage,Michael Oliver,Match Report,
23,Sat,24/01/2026,17:30,Bournemouth,3–2,Liverpool,"11,260",Vitality Stadium,Michael Salisbury,Match Report,
23,Sun,25/01/2026,14:00,Brentford,0–2,Nottingham Forest,"17,134",Gtech Community Stadium,Samuel Barrott,Match Report,
23,Sun,25/01/2026,14:00,Newcastle United,0–2,Aston Villa,"52,134",St James' Park,Jarred Gillett,Match Report,
23,Sun,25/01/2026,14:00,Crystal Palace,1–3,Chelsea,"25,163",Selhurst Park,Darren England,Match Report,
23,Sun,25/01/2026,16:30,Arsenal,2–3,Manchester Utd,"60,296",Emirates Stadium,Craig Pawson,Match Report,
23,Mon,26/01/2026,20:00,Everton,1–1,Leeds United,"51,979",Hill Dickinson Stadium,Simon Hooper,Match Report,
