Wk,Day,Date,Time,Home,Score,Away,Attendance,Venue,Referee,Match Report,Notes
18,Fri,26/12/2025,20:00,Manchester Utd,1–0,Newcastle United,"73,996",Old Trafford,Anthony Taylor,Match Report,
18,Sat,27/12/2025,12:30,Nottingham Forest,1–2,Manchester City,"30,778",The City Ground,Robert Jones,Match Report,
18,Sat,27/12/2025,15:00,Brentford,4–1,Bournemouth,"17,152",Gtech Community Stadium,Peter Bankes,Match Report,
18,Sat,27/12/2025,15:00,Burnley,0–0,Everton,"21,637",Turf Moor,Craig Pawson,Match Report,
18,Sat,27/12/2025,15:00,West Ham United,0–1,Fulham,"62,464",London Stadium,Chris Kavanagh,Match Report,
18,Sat,27/12/2025,15:00,Arsenal,2–1,Brighton,"60,209",Emirates Stadium,John Brooks,Match Report,
18,Sat,27/12/2025,15:00,Liverpool,2–1,Wolves,"60,466",Anfield,Simon Hooper,Match Report,
18,Sat,27/12/2025,17:30,Chelsea,1–2,Aston Villa,"39,765",Stamford Bridge,Stuart Attwell,Match Report,
18,Sun,28/12/2025,14:00,Sunderland,1–1,Leeds United,"46,675",Stadium of Light,Tony Harrington,Match Report,
18,Sun,28/12/2025,16:30,Crystal Palace,0–1,Tottenham Hotspur,"25,186",Selhurst Park,Jarred Gillett,Match Report,
