Wk,Day,Date,Time,Home,xG,Score,xG,Away,Attendance,Venue,Referee,Match Report,Notes
9,Fri,24/10/2025,20:00,Leeds United,1.5,2–1,0.6,West Ham,"36,788",Elland Road,Stuart Attwell,Match Report,
9,Sat,25/10/2025,15:00,Newcastle Utd,2.1,2–1,1.3,Fulham,"52,152",St James' Park,Peter Bankes,Match Report,
9,Sat,25/10/2025,15:00,Chelsea,0.9,1–2,1.2,Sunderland,"39,489",Stamford Bridge,Andy Madley,Match Report,
9,Sat,25/10/2025,17:30,Manchester Utd,1.3,4–2,1.1,Brighton,"74,124",Old Trafford,Anthony Taylor,Match Report,
9,Sat,25/10/2025,20:00,Brentford,2.7,3–2,2.2,Liverpool,"17,214",Gtech Community Stadium,Simon Hooper,Match Report,
9,Sun,26/10/2025,14:00,Arsenal,0.9,1–0,0.5,Crystal Palace,"60,103",Emirates Stadium,Thomas Bramall,Match Report,
9,Sun,26/10/2025,14:00,Aston Villa,0.8,1–0,1.2,Manchester City,"41,988",Villa Park,Michael Oliver,Match Report,
9,Sun,26/10/2025,14:00,Wolves,2.3,2–3,1.4,Burnley,"29,116",Molineux Stadium,Tony Harrington,Match Report,
9,Sun,26/10/2025,14:00,Bournemouth,0.6,2–0,0.4,Nott'ham Forest,"11,204",Vitality Stadium,Samuel Barrott,Match Report,
9,Sun,26/10/2025,16:30,Everton,1.7,0–3,1.7,Tottenham,"51,781",Hill Dickinson Stadium,Craig Pawson,Match Report,
