Wk,Day,Date,Time,Home,Score,Away,Attendance,Venue,Referee,Match Report,Notes
21,Tue,06/01/2026,20:00,West Ham United,1–2,Nottingham Forest,"62,429",London Stadium,Tony Harrington,Match Report,
21,Wed,07/01/2026,19:30,Crystal Palace,0–0,Aston Villa,"24,841",Selhurst Park,Andy Madley,Match Report,
21,Wed,07/01/2026,19:30,Everton,1–1,Wolves,"51,768",Hill Dickinson Stadium,Thomas Kirk,Match Report,
21,Wed,07/01/2026,19:30,Fulham,2–1,Chelsea,"26,990",Craven Cottage,Peter Bankes,Match Report,
21,Wed,07/01/2026,19:30,Brentford,3–0,Sunderland,"17,016",Gtech Community Stadium,Matt Donohue,Match Report,
21,Wed,07/01/2026,19:30,Manchester City,1–1,Brighton,"51,728",Etihad Stadium,Thomas Bramall,Match Report,
21,Wed,07/01/2026,19:30,Bournemouth,3–2,Tottenham Hotspur,"11,212",Vitality Stadium,Darren England,Match Report,
21,Wed,07/01/2026,20:15,Burnley,2–2,Manchester Utd,"21,047",Turf Moor,Stuart Attwell,Match Report,
21,Wed,07/01/2026,20:15,Newcastle United,4–3,Leeds United,"51,176",St James' Park,Michael Salisbury,Match Report,
21,Thu,08/01/2026,20:00,Arsenal,0–0,Liverpool,"60,258",Emirates Stadium,Anthony Taylor,Match Report,
