Wk,Day,Date,Time,Home,Score,Away,Attendance,Venue,Referee,Match Report,Notes
31,Fri,20/03/2026,20:00,Bournemouth,2–2,Manchester Utd,"11,250",Vitality Stadium,Stuart Attwell,Match Report,
31,Sat,21/03/2026,12:45,Brighton,2–1,Liverpool,"31,680",The American Express Stadium,Darren England,Match Report,
31,Sat,21/03/2026,15:00,Fulham,3–1,Burnley,"27,323",Craven Cottage,Chris Kavanagh,Match Report,
31,Sat,21/03/2026,17:30,Everton,3–0,Chelsea,"52,547",Hill Dickinson Stadium,Samuel Barrott,Match Report,
31,Sat,21/03/2026,20:00,Leeds United,0–0,Brentford,"36,386",Elland Road,Jarred Gillett,Match Report,
31,Sun,22/03/2026,12:00,Newcastle United,1–2,Sunderland,"52,253",St James' Park,Anthony Taylor,Match Report,
31,Sun,22/03/2026,14:15,Aston Villa,2–0,West Ham United,"42,130",Villa Park,Paul Tierney,Match Report,
31,Sun,22/03/2026,14:15,Tottenham Hotspur,0–3,Nottingham Forest,"61,519",Tottenham Hotspur Stadium,Michael Oliver,Match Report,
