Wk,Day,Date,Time,Home,Score,Away,Attendance,Venue,Referee,Match Report,Notes
26,Tue,10/02/2026,19:30,Everton,1–2,Bournemouth,"51,793",Hill Dickinson Stadium,Andy Madley,Match Report,
26,Tue,10/02/2026,19:30,Chelsea,2–2,Leeds United,"39,253",Stamford Bridge,Robert Jones,Match Report,
26,Tue,10/02/2026,19:30,Tottenham Hotspur,1–2,Newcastle United,"59,773",Tottenham Hotspur Stadium,Anthony Taylor,Match Report,
26,Tue,10/02/2026,20:15,West Ham United,1–1,Manchester Utd,"62,473",London Stadium,Simon Hooper,Match Report,
26,Wed,11/02/2026,19:30,Nottingham Forest,0–0,Wolves,"29,921",The City Ground,Tim Robinson,Match Report,
26,Wed,11/02/2026,19:30,Manchester City,3–0,Fulham,"50,717",Etihad Stadium,Paul Tierney,Match Report,
26,Wed,11/02/2026,19:30,Aston Villa,1–0,Brighton,"39,495",Villa Park,Peter Bankes,Match Report,
26,Wed,11/02/2026,19:40,Crystal Palace,2–3,Burnley,"24,641",Selhurst Park,Farai Hallam,Match Report,
26,Wed,11/02/2026,20:15,Sunderland,0–1,Liverpool,"47,159",Stadium of Light,Chris Kavanagh,Match Report,
26,Thu,12/02/2026,20:00,Brentford,1–1,Arsenal,"17,224",Gtech Community Stadium,John Brooks,Match Report,
31,Wed,18/02/2026,20:00,Wolves,2–2,Arsenal,"29,843",Molineux Stadium,Paul Tierney,Match Report,
