Wk,Day,Date,Time,Home,Score,Away,Attendance,Venue,Referee,Match Report,Notes
22,Sat,17/01/2026,12:30,Manchester Utd,2–0,Manchester City,"74,004",Old Trafford,Anthony Taylor,Match Report,
22,Sat,17/01/2026,15:00,Tottenham Hotspur,1–2,West Ham United,"60,857",Tottenham Hotspur Stadium,Jarred Gillett,Match Report,
22,Sat,17/01/2026,15:00,Liverpool,1–1,Burnley,"60,431",Anfield,Andy Madley,Match Report,
22,Sat,17/01/2026,15:00,Chelsea,2–0,Brentford,"39,704",Stamford Bridge,John Brooks,Match Report,
22,Sat,17/01/2026,15:00,Leeds United,1–0,Fulham,"36,300",Elland Road,Chris Kavanagh,Match Report,
22,Sat,17/01/2026,15:00,Sunderland,2–1,Crystal Palace,"47,257",Stadium of Light,Robert Jones,Match Report,
22,Sat,17/01/2026,17:30,Nottingham Forest,0–0,Arsenal,"30,729",The City Ground,Michael Oliver,Match Report,
22,Sun,18/01/2026,14:00,Wolves,0–0,Newcastle United,"29,751",Molineux Stadium,Samuel Barrott,Match Report,
22,Sun,18/01/2026,16:30,Aston Villa,0–1,Everton,"43,059",Villa Park,Tony Harrington,Match Report,
22,Mon,19/01/2026,20:00,Brighton,1–1,Bournemouth,"30,172",The American Express Stadium,Paul Tierney,Match Report,
