Wk,Day,Date,Time,Home,xG,Score,xG,Away,Attendance,Venue,Referee,Match Report,Notes
7,Fri,03/10/2025,20:00,Bournemouth,1.2,3–1,0.9,Fulham,"11,165",Vitality Stadium,Simon Hooper,Match Report,
7,Sat,04/10/2025,12:30,Leeds United,1.7,1–2,0.6,Tottenham,"36,703",Elland Road,Thomas Bramall,Match Report,
7,Sat,04/10/2025,15:00,Arsenal,2.8,2–0,0.4,West Ham,"60,181",Emirates Stadium,John Brooks,Match Report,
7,Sat,04/10/2025,15:00,Manchester Utd,1.8,2–0,0.7,Sunderland,"74,004",Old Trafford,Stuart Attwell,Match Report,
7,Sat,04/10/2025,17:30,Chelsea,1,2–1,1.9,Liverpool,"39,538",Stamford Bridge,Anthony Taylor,Match Report,
7,Sun,05/10/2025,14:00,Wolves,0.6,1–1,0.9,Brighton,"29,504",Molineux Stadium,Jarred Gillett,Match Report,
7,Sun,05/10/2025,14:00,Everton,2,2–1,1.5,Crystal Palace,"51,770",Hill Dickinson Stadium,Michael Salisbury,Match Report,
7,Sun,05/10/2025,14:00,Aston Villa,1.1,2–1,0.4,Burnley,"40,308",Villa Park,Andrew Kitchen,Match Report,
7,Sun,05/10/2025,14:00,Newcastle Utd,3.2,2–0,0.2,Nott'ham Forest,"52,189",St James' Park,Peter Bankes,Match Report,
7,Sun,05/10/2025,16:30,Brentford,0.7,0–1,0.8,Manchester City,"17,028",Gtech Community Stadium,Darren England,Match Report,
