Wk,Day,Date,Time,Home,Score,Away,Attendance,Venue,Referee,Match Report,Notes
13,Sat,29/11/2025,15:00,Sunderland,3–2,Bournemouth,"46,973",Stadium of Light,Tim Robinson,Match Report,
13,Sat,29/11/2025,15:00,Brentford,3–1,Burnley,"17,176",Gtech Community Stadium,Samuel Barrott,Match Report,
13,Sat,29/11/2025,15:00,Manchester City,3–2,Leeds United,"52,483",Etihad Stadium,Peter Bankes,Match Report,
13,Sat,29/11/2025,17:30,Everton,1–4,Newcastle United,"52,489",Hill Dickinson Stadium,Craig Pawson,Match Report,
13,Sat,29/11/2025,20:00,Tottenham Hotspur,1–2,Fulham,"60,546",Tottenham Hotspur Stadium,Stuart Attwell,Match Report,
13,Sun,30/11/2025,12:00,Crystal Palace,1–2,Manchester Utd,"25,189",Selhurst Park,Robert Jones,Match Report,
13,Sun,30/11/2025,14:05,Nottingham Forest,0–2,Brighton,"30,522",The City Ground,Michael Oliver,Match Report,
13,Sun,30/11/2025,14:05,Aston Villa,1–0,Wolves,"42,139",Villa Park,Chris Kavanagh,Match Report,
13,Sun,30/11/2025,14:05,West Ham United,0–2,Liverpool,"62,469",London Stadium,Darren England,Match Report,
13,Sun,30/11/2025,16:30,Chelsea,1–1,Arsenal,"39,820",Stamford Bridge,Anthony Taylor,Match Report,
