Wk,Day,Date,Time,Home,xG,Score,xG,Away,Attendance,Venue,Referee,Match Report,Notes
5,Sat,16/09/2023,12:30,Wolves,0.6,1–3,2.5,Liverpool,"31,257",Molineux Stadium,Michael Oliver,Match Report,
5,Sat,16/09/2023,15:00,Fulham,1,1–0,1.1,Luton Town,"24,467",Craven Cottage,Michael Salisbury,Match Report,
5,Sat,16/09/2023,15:00,West Ham,0.9,1–3,3.6,Manchester City,"62,475",London Stadium,Andy Madley,Match Report,
5,Sat,16/09/2023,15:00,Aston Villa,3,3–1,1.2,Crystal Palace,"40,809",Villa Park,Darren England,Match Report,
5,Sat,16/09/2023,15:00,Manchester Utd,1,1–3,1.7,Brighton,"73,592",Old Trafford,Jarred Gillett,Match Report,
5,Sat,16/09/2023,15:00,Tottenham,2.1,2–1,0.7,Sheffield Utd,"61,706",Tottenham Hotspur Stadium,Peter Bankes,Match Report,
5,Sat,16/09/2023,17:30,Newcastle Utd,1.4,1–0,0.5,Brentford,"51,670",St James' Park,Craig Pawson,Match Report,
5,Sun,17/09/2023,14:00,Bournemouth,1,0–0,1.8,Chelsea,"10,421",Vitality Stadium,David Coote,Match Report,
5,Sun,17/09/2023,16:30,Everton,0.3,0–1,1,Arsenal,"39,217",Goodison Park,Simon Hooper,Match Report,
5,Mon,18/09/2023,19:45,Nott'ham Forest,0.7,1–1,0.5,Burnley,"28,958",The City Ground,Robert Jones,Match Report,
