Wk,Day,Date,Time,Home,xG,Score,xG,Away,Attendance,Venue,Referee,Match Report,Notes
30,Sat,30/03/2024,12:30,Newcastle Utd,4.1,4–3,1.4,West Ham,"52,199",St James' Park,Robert Jones,Match Report,
30,Sat,30/03/2024,15:00,Bournemouth,1.3,2–1,1,Everton,"11,207",Vitality Stadium,Samuel Barrott,Match Report,
30,Sat,30/03/2024,15:00,Tottenham,2.9,2–1,0.5,Luton Town,"61,534",Tottenham Hotspur Stadium,Jarred Gillett,Match Report,
30,Sat,30/03/2024,15:00,Nott'ham Forest,0.9,1–1,1.2,Crystal Palace,"29,520",The City Ground,Chris Kavanagh,Match Report,
30,Sat,30/03/2024,15:00,Sheffield Utd,1.9,3–3,1.3,Fulham,"30,010",Bramall Lane,Tim Robinson,Match Report,
30,Sat,30/03/2024,15:00,Chelsea,4.2,2–2,1.6,Burnley,"39,535",Stamford Bridge,Darren England,Match Report,
30,Sat,30/03/2024,17:30,Aston Villa,1,2–0,1.5,Wolves,"42,640",Villa Park,Paul Tierney,Match Report,
30,Sat,30/03/2024,20:00,Brentford,3.2,1–1,0.6,Manchester Utd,"17,138",Gtech Community Stadium,Simon Hooper,Match Report,
30,Sun,31/03/2024,14:00,Liverpool,2.8,2–1,0.5,Brighton,"60,061",Anfield,David Coote,Match Report,
30,Sun,31/03/2024,16:30,Manchester City,1,0–0,0.7,Arsenal,"52,178",Etihad Stadium,Anthony Taylor,Match Report,
