Wk,Day,Date,Time,Home,xG,Score,xG,Away,Attendance,Venue,Referee,Match Report,Notes
3,Fri,25/08/2023,20:00,Chelsea,2.2,3–0,0.4,Luton Town,"39,893",Stamford Bridge,Robert Jones,Match Report,
3,Sat,26/08/2023,12:30,Bournemouth,0.7,0–2,2.1,Tottenham,"10,567",Vitality Stadium,Tim Robinson,Match Report,
3,Sat,26/08/2023,15:00,Everton,1.3,0–1,1.1,Wolves,"38,851",Goodison Park,Craig Pawson,Match Report,
3,Sat,26/08/2023,15:00,Brentford,1,1–1,0.8,Crystal Palace,"16,997",Brentford Community Stadium,Peter Bankes,Match Report,
3,Sat,26/08/2023,15:00,Manchester Utd,2.8,3–2,1.2,Nott'ham Forest,"73,595",Old Trafford,Stuart Attwell,Match Report,
3,Sat,26/08/2023,15:00,Arsenal,3.2,2–2,0.6,Fulham,"59,961",Emirates Stadium,Paul Tierney,Match Report,
3,Sat,26/08/2023,17:30,Brighton,1.5,1–3,3,West Ham,"31,508",The American Express Community Stadium,Anthony Taylor,Match Report,
3,Sun,27/08/2023,14:00,Sheffield Utd,0.7,1–2,3.5,Manchester City,"31,336",Bramall Lane,Jarred Gillett,Match Report,
3,Sun,27/08/2023,14:00,Burnley,0.7,1–3,2.5,Aston Villa,"21,591",Turf Moor,Michael Salisbury,Match Report,
3,Sun,27/08/2023,16:30,Newcastle Utd,2,1–2,1,Liverpool,"52,214",St James' Park,John Brooks,Match Report,
