Wk,Day,Date,Time,Home,xG,Score,xG,Away,Attendance,Venue,Referee,Match Report,Notes
11,Sat,04/11/2023,12:30,Fulham,1,0–1,0.7,Manchester Utd,"24,415",Craven Cottage,John Brooks,Match Report,
11,Sat,04/11/2023,15:00,Brentford,1.5,3–2,1.8,West Ham,"17,103",Gtech Community Stadium,Thomas Bramall,Match Report,
11,Sat,04/11/2023,15:00,Everton,0.7,1–1,0.5,Brighton,"38,683",Goodison Park,Tim Robinson,Match Report,
11,Sat,04/11/2023,15:00,Burnley,1.1,0–2,1.3,Crystal Palace,"21,578",Turf Moor,Peter Bankes,Match Report,
11,Sat,04/11/2023,15:00,Manchester City,1.9,6–1,0.9,Bournemouth,"53,358",Etihad Stadium,Craig Pawson,Match Report,
11,Sat,04/11/2023,15:00,Sheffield Utd,1,2–1,1.2,Wolves,"29,454",Bramall Lane,Robert Jones,Match Report,
11,Sat,04/11/2023,17:30,Newcastle Utd,1,1–0,0.6,Arsenal,"52,194",St James' Park,Stuart Attwell,Match Report,
11,Sun,05/11/2023,14:00,Nott'ham Forest,0.4,2–0,1.2,Aston Villa,"29,313",The City Ground,Jarred Gillett,Match Report,
11,Sun,05/11/2023,16:30,Luton Town,0.8,1–1,2.6,Liverpool,"11,049",Kenilworth Road Stadium,Andy Madley,Match Report,
11,Mon,06/11/2023,20:00,Tottenham,0.9,1–4,4.1,Chelsea,"61,726",Tottenham Hotspur Stadium,Michael Oliver,Match Report,
