Wk,Day,Date,Time,Home,xG,Score,xG,Away,Attendance,Venue,Referee,Match Report,Notes
36,Fri,03/05/2024,20:00,Luton Town,0.8,1–1,1.4,Everton,"11,873",Kenilworth Road Stadium,Tim Robinson,Match Report,
36,Sat,04/05/2024,12:30,Arsenal,3.3,3–0,0.5,Bournemouth,"60,348",Emirates Stadium,David Coote,Match Report,
36,Sat,04/05/2024,15:00,Burnley,1,1–4,3.4,Newcastle Utd,"21,781",Turf Moor,Anthony Taylor,Match Report,
36,Sat,04/05/2024,15:00,Sheffield Utd,2.2,1–3,1.5,Nott'ham Forest,"28,516",Bramall Lane,Chris Kavanagh,Match Report,
36,Sat,04/05/2024,15:00,Brentford,0.6,0–0,1.3,Fulham,"17,090",Gtech Community Stadium,Graham Scott,Match Report,
36,Sat,04/05/2024,17:30,Manchester City,3.7,5–1,0.3,Wolves,"52,439",Etihad Stadium,Craig Pawson,Match Report,
36,Sun,05/05/2024,14:00,Brighton,2.5,1–0,0.1,Aston Villa,"31,596",The American Express Community Stadium,Robert Jones,Match Report,
36,Sun,05/05/2024,14:00,Chelsea,4.1,5–0,0.9,West Ham,"39,295",Stamford Bridge,Andy Madley,Match Report,
36,Sun,05/05/2024,16:30,Liverpool,3.3,4–2,1.2,Tottenham,"60,075",Anfield,Paul Tierney,Match Report,
36,Mon,06/05/2024,20:00,Crystal Palace,1.7,4–0,0.4,Manchester Utd,"25,190",Selhurst Park,Jarred Gillett,Match Report,
