Wk,Day,Date,Time,Home,xG,Score,xG,Away,Attendance,Venue,Referee,Match Report,Notes
28,Sat,09/03/2024,12:30,Manchester Utd,2.7,2–0,1.6,Everton,"73,601",Old Trafford,Simon Hooper,Match Report,
28,Sat,09/03/2024,15:00,Bournemouth,3.3,2–2,1.2,Sheffield Utd,"11,074",Vitality Stadium,Anthony Taylor,Match Report,
28,Sat,09/03/2024,15:00,Wolves,0.8,2–1,2.6,Fulham,"30,860",Molineux Stadium,Tony Harrington,Match Report,
28,Sat,09/03/2024,15:00,Crystal Palace,2.7,1–1,0.8,Luton Town,"25,103",Selhurst Park,Sunny Singh,Match Report,
28,Sat,09/03/2024,17:30,Arsenal,1.3,2–1,1,Brentford,"60,331",Emirates Stadium,Robert Jones,Match Report,
28,Sun,10/03/2024,13:00,Aston Villa,0.8,0–4,1.5,Tottenham,"42,310",Villa Park,Chris Kavanagh,Match Report,
28,Sun,10/03/2024,14:00,West Ham,2.1,2–2,0.7,Burnley,"62,441",London Stadium,Darren England,Match Report,
28,Sun,10/03/2024,14:00,Brighton,0.4,1–0,0.7,Nott'ham Forest,"31,505",The American Express Community Stadium,Michael Salisbury,Match Report,
28,Sun,10/03/2024,15:45,Liverpool,2.7,1–1,1.6,Manchester City,"59,947",Anfield,Michael Oliver,Match Report,
28,Mon,11/03/2024,20:00,Chelsea,1.6,3–2,0.7,Newcastle Utd,"37,753",Stamford Bridge,John Brooks,Match Report,
17,Wed,13/03/2024,19:30,Bournemouth,2.3,4–3,2,Luton Town,"11,198",Vitality Stadium,Samuel Allison,Match Report,
