Wk,Day,Date,Time,Home,Away,Attendance,Venue,Referee,Match Report,Notes
16,Sat,09/12/2023,12:30,Crystal Palace,Liverpool,"25,103",Selhurst Park,Andy Madley,Match Report,
16,Sat,09/12/2023,15:00,Manchester Utd,Bournemouth,"73,427",Old Trafford,Peter Bankes,Match Report,
16,Sat,09/12/2023,15:00,Wolves,Nott'ham Forest,"31,543",Molineux Stadium,Samuel Barrott,Match Report,
16,Sat,09/12/2023,15:00,Brighton,Burnley,"31,511",The American Express Community Stadium,Simon Hooper,Match Report,
16,Sat,09/12/2023,15:00,Sheffield Utd,Brentford,"28,509",Bramall Lane,Stuart Attwell,Match Report,
16,Sat,09/12/2023,17:30,Aston Villa,Arsenal,,Villa Park,Jarred Gillett,Match Report,
16,Sun,10/12/2023,14:00,Everton,Chelsea,"39,280",Goodison Park,Michael Oliver,Match Report,
16,Sun,10/12/2023,14:00,Fulham,West Ham,"23,988",Craven Cottage,Paul Tierney,Match Report,
16,Sun,10/12/2023,14:00,Luton Town,Manchester City,"11,047",Kenilworth Road Stadium,Tim Robinson,Match Report,
16,Sun,10/12/2023,16:30,Tottenham,Newcastle Utd,"61,171",Tottenham Hotspur Stadium,Chris Kavanagh,Match Report,
