Wk,Day,Date,Time,Home,Away,Attendance,Venue,Referee,Match Report,Notes
32,Sat,06/04/2024,12:30,Crystal Palace,Manchester City,"25,132",Selhurst Park,Paul Tierney,Match Report,
32,Sat,06/04/2024,15:00,Luton Town,Bournemouth,"11,797",Kenilworth Road Stadium,Andy Madley,Match Report,
32,Sat,06/04/2024,15:00,Wolves,West Ham,"31,504",Molineux Stadium,Tony Harrington,Match Report,
32,Sat,06/04/2024,15:00,Fulham,Newcastle Utd,"24,418",Craven Cottage,Samuel Allison,Match Report,
32,Sat,06/04/2024,15:00,Everton,Burnley,"39,125",Goodison Park,Michael Oliver,Match Report,
32,Sat,06/04/2024,15:00,Aston Villa,Brentford,"42,118",Villa Park,Michael Salisbury,Match Report,
32,Sat,06/04/2024,17:30,Brighton,Arsenal,"31,677",The American Express Community Stadium,John Brooks,Match Report,
32,Sun,07/04/2024,15:30,Manchester Utd,Liverpool,"73,501",Old Trafford,Anthony Taylor,Match Report,
32,Sun,07/04/2024,17:30,Sheffield Utd,Chelsea,"28,638",Bramall Lane,Robert Jones,Match Report,
32,Sun,07/04/2024,18:00,Tottenham,Nott'ham Forest,"61,098",Tottenham Hotspur Stadium,Simon Hooper,Match Report,
