Wk,Day,Date,Time,Home,Away,Attendance,Venue,Referee,Match Report,Notes
37,Sat,11/05/2024,12:30,Fulham,Manchester City,"24,418",Craven Cottage,Anthony Taylor,Match Report,
37,Sat,11/05/2024,15:00,Wolves,Crystal Palace,"31,424",Molineux Stadium,Thomas Bramall,Match Report,
37,Sat,11/05/2024,15:00,West Ham,Luton Town,"62,475",London Stadium,Michael Oliver,Match Report,
37,Sat,11/05/2024,15:00,Tottenham,Burnley,"61,148",Tottenham Hotspur Stadium,Jarred Gillett,Match Report,
37,Sat,11/05/2024,15:00,Everton,Sheffield Utd,"39,221",Goodison Park,Stuart Attwell,Match Report,
37,Sat,11/05/2024,15:00,Newcastle Utd,Brighton,"51,997",St James' Park,Darren England,Match Report,
37,Sat,11/05/2024,15:00,Bournemouth,Brentford,"11,154",Vitality Stadium,Matt Donohue,Match Report,
37,Sat,11/05/2024,17:30,Nott'ham Forest,Chelsea,"29,708",The City Ground,Tony Harrington,Match Report,
37,Sun,12/05/2024,16:30,Manchester Utd,Arsenal,"73,600",Old Trafford,Paul Tierney,Match Report,
37,Mon,13/05/2024,20:00,Aston Villa,Liverpool,"42,241",Villa Park,Simon Hooper,Match Report,
34,Tue,14/05/2024,20:00,Tottenham,Manchester City,"61,065",Tottenham Hotspur Stadium,Chris Kavanagh,Match Report,
34,Wed,15/05/2024,19:45,Brighton,Chelsea,"31,555",The American Express Community Stadium,Michael Salisbury,Match Report,
34,Wed,15/05/2024,20:00,Manchester Utd,Newcastle Utd,"73,582",Old Trafford,Robert Jones,Match Report,
