Wk,Day,Date,Time,Home,Away,Attendance,Venue,Referee,Match Report,Notes
33,Sat,13/04/2024,12:30,Newcastle Utd,Tottenham,"52,147",St James' Park,Tim Robinson,Match Report,
33,Sat,13/04/2024,15:00,Manchester City,Luton Town,"52,149",Etihad Stadium,John Brooks,Match Report,
33,Sat,13/04/2024,15:00,Nott'ham Forest,Wolves,"29,604",The City Ground,Craig Pawson,Match Report,
33,Sat,13/04/2024,15:00,Brentford,Sheffield Utd,"17,115",Gtech Community Stadium,Samuel Barrott,Match Report,
33,Sat,13/04/2024,15:00,Burnley,Brighton,"20,687",Turf Moor,Simon Hooper,Match Report,
33,Sat,13/04/2024,17:30,Bournemouth,Manchester Utd,"11,229",Vitality Stadium,Tony Harrington,Match Report,
33,Sun,14/04/2024,14:00,Liverpool,Crystal Palace,"60,090",Anfield,Chris Kavanagh,Match Report,
33,Sun,14/04/2024,14:00,West Ham,Fulham,"62,459",London Stadium,Stuart Attwell,Match Report,
33,Sun,14/04/2024,16:30,Arsenal,Aston Villa,"60,350",Emirates Stadium,David Coote,Match Report,
33,Mon,15/04/2024,20:00,Chelsea,Everton,"39,392",Stamford Bridge,Paul Tierney,Match Report,
