Wk,Day,Date,Time,Home,Away,Attendance,Venue,Referee,Match Report,Notes
4,Fri,01/09/2023,20:00,Luton Town,West Ham,,Kenilworth Road Stadium,,Head-to-Head,
4,Sat,02/09/2023,12:30,Sheffield Utd,Everton,,Bramall Lane,,Head-to-Head,
4,Sat,02/09/2023,15:00,Chelsea,Nott'ham Forest,,Stamford Bridge,,Head-to-Head,
4,Sat,02/09/2023,15:00,Manchester City,Fulham,,Etihad Stadium,,Head-to-Head,
4,Sat,02/09/2023,15:00,Brentford,Bournemouth,,Brentford Community Stadium,,Head-to-Head,
4,Sat,02/09/2023,15:00,Burnley,Tottenham,,Turf Moor,,Head-to-Head,
4,Sat,02/09/2023,17:30,Brighton,Newcastle Utd,,The American Express Community Stadium,,Head-to-Head,
4,Sun,03/09/2023,14:00,Liverpool,Aston Villa,,Anfield,,Head-to-Head,
4,Sun,03/09/2023,14:00,Crystal Palace,Wolves,,Selhurst Park,,Head-to-Head,
4,Sun,03/09/2023,16:30,Arsenal,Manchester Utd,,Emirates Stadium,,Head-to-Head,
