Wk,Day,Date,Time,Home,Away,Attendance,Venue,Referee,Match Report,Notes
22,Tue,30/01/2024,19:30,Nott'ham Forest,Arsenal,"29,387",The City Ground,Simon Hooper,Match Report,
22,Tue,30/01/2024,19:45,Fulham,Everton,"24,376",Craven Cottage,Thomas Bramall,Match Report,
22,Tue,30/01/2024,19:45,Luton Town,Brighton,"10,994",Kenilworth Road Stadium,Robert Jones,Match Report,
22,Tue,30/01/2024,20:00,Crystal Palace,Sheffield Utd,"24,781",Selhurst Park,Tony Harrington,Match Report,
22,Tue,30/01/2024,20:15,Aston Villa,Newcastle Utd,"42,191",Villa Park,John Brooks,Match Report,
22,Wed,31/01/2024,19:30,Tottenham,Brentford,"61,210",Tottenham Hotspur Stadium,David Coote,Match Report,
22,Wed,31/01/2024,19:30,Manchester City,Burnley,"52,143",Etihad Stadium,Samuel Barrott,Match Report,
22,Wed,31/01/2024,20:15,Liverpool,Chelsea,"57,524",Anfield,Paul Tierney,Match Report,
22,Thu,01/02/2024,19:30,West Ham,Bournemouth,"62,478",London Stadium,Tim Robinson,Match Report,
22,Thu,01/02/2024,20:15,Wolves,Manchester Utd,"31,641",Molineux Stadium,Jarred Gillett,Match Report,
