Wk,Day,Date,Time,Home,Away,Attendance,Venue,Referee,Match Report,Notes
19,Sun,29/12/2024,14:30,Leicester City,Manchester City,,King Power Stadium,Michael Oliver,Match Report,
19,Sun,29/12/2024,15:00,Tottenham,Wolves,"61,284",Tottenham Hotspur Stadium,Chris Kavanagh,Match Report,
19,Sun,29/12/2024,15:00,Fulham,Bournemouth,,Craven Cottage,Robert Jones,Match Report,
19,Sun,29/12/2024,15:00,Everton,Nott'ham Forest,,Goodison Park,Tony Harrington,Match Report,
19,Sun,29/12/2024,15:00,Crystal Palace,Southampton,"25,130",Selhurst Park,Michael Salisbury,Match Report,
19,Sun,29/12/2024,17:15,West Ham,Liverpool,,London Stadium,Anthony Taylor,Match Report,
19,Mon,30/12/2024,19:45,Aston Villa,Brighton,,Villa Park,,Head-to-Head,
19,Mon,30/12/2024,19:45,Ipswich Town,Chelsea,,Portman Road Stadium,,Head-to-Head,
19,Mon,30/12/2024,20:00,Manchester Utd,Newcastle Utd,,Old Trafford,,Head-to-Head,
19,Wed,01/01/2025,17:30,Brentford,Arsenal,,Gtech Community Stadium,,Head-to-Head,
