Wk,Day,Date,Time,Home,Away,Attendance,Venue,Referee,Match Report,Notes
17,Sat,21/12/2024,12:30,Aston Villa,Manchester City,,Villa Park,,Head-to-Head,
17,Sat,21/12/2024,15:00,West Ham,Brighton,,London Stadium,,Head-to-Head,
17,Sat,21/12/2024,15:00,Brentford,Nott'ham Forest,,Gtech Community Stadium,,Head-to-Head,
17,Sat,21/12/2024,15:00,Ipswich Town,Newcastle Utd,,Portman Road Stadium,,Head-to-Head,
17,Sat,21/12/2024,17:30,Crystal Palace,Arsenal,,Selhurst Park,,Head-to-Head,
17,Sun,22/12/2024,14:00,Manchester Utd,Bournemouth,,Old Trafford,,Head-to-Head,
17,Sun,22/12/2024,14:00,Fulham,Southampton,,Craven Cottage,,Head-to-Head,
17,Sun,22/12/2024,14:00,Everton,Chelsea,,Goodison Park,,Head-to-Head,
17,Sun,22/12/2024,14:00,Leicester City,Wolves,,King Power Stadium,,Head-to-Head,
17,Sun,22/12/2024,16:30,Tottenham,Liverpool,,Tottenham Hotspur Stadium,,Head-to-Head,
