Wk,Day,Date,Time,Home,Away,Attendance,Venue,Referee,Match Report,Notes
4,Sat,14/09/2024,12:30,Southampton,Manchester Utd,"31,144",St Mary's Stadium,Stuart Attwell,Match Report,
4,Sat,14/09/2024,15:00,Brighton,Ipswich Town,"41,573",The American Express Stadium,Samuel Barrott,Match Report,
4,Sat,14/09/2024,15:00,Crystal Palace,Leicester City,"25,147",Selhurst Park,Tony Harrington,Match Report,
4,Sat,14/09/2024,15:00,Manchester City,Brentford,"52,148",Etihad Stadium,Darren Bond,Match Report,
4,Sat,14/09/2024,15:00,Liverpool,Nott'ham Forest,"60,344",Anfield,Michael Oliver,Match Report,
4,Sat,14/09/2024,15:00,Fulham,West Ham,"26,528",Craven Cottage,Tim Robinson,Match Report,
4,Sat,14/09/2024,17:30,Aston Villa,Everton,"41,573",Villa Park,Craig Pawson,Match Report,
4,Sat,14/09/2024,20:00,Bournemouth,Chelsea,"11,235",Vitality Stadium,Anthony Taylor,Match Report,
4,Sun,15/09/2024,14:00,Tottenham,Arsenal,"61,645",Tottenham Hotspur Stadium,Jarred Gillett,Match Report,
4,Sun,15/09/2024,16:30,Wolves,Newcastle Utd,"30,255",Molineux Stadium,Chris Kavanagh,Match Report,
