Wk,Day,Date,Time,Home,Away,Attendance,Venue,Referee,Match Report,Notes
9,Sat,21/10/2023,12:30,Liverpool,Everton,,Anfield,,Head-to-Head,
9,Sat,21/10/2023,15:00,Bournemouth,Wolves,,Vitality Stadium,,Head-to-Head,
9,Sat,21/10/2023,15:00,Newcastle Utd,Crystal Palace,,St James' Park,,Head-to-Head,
9,Sat,21/10/2023,15:00,Brentford,Burnley,,Gtech Community Stadium,,Head-to-Head,
9,Sat,21/10/2023,15:00,Manchester City,Brighton,,Etihad Stadium,,Head-to-Head,
9,Sat,21/10/2023,15:00,Nott'ham Forest,Luton Town,,The City Ground,,Head-to-Head,
9,Sat,21/10/2023,17:30,Chelsea,Arsenal,,Stamford Bridge,,Head-to-Head,
9,Sat,21/10/2023,20:00,Sheffield Utd,Manchester Utd,,Bramall Lane,,Head-to-Head,
9,Sun,22/10/2023,16:30,Aston Villa,West Ham,,Villa Park,,Head-to-Head,
9,Mon,23/10/2023,20:00,Tottenham,Fulham,,Tottenham Hotspur Stadium,,Head-to-Head,
