Wk,Day,Date,Time,Home,Away,Attendance,Venue,Referee,Match Report,Notes
31,Tue,02/04/2024,19:30,Newcastle Utd,Everton,"52,135",St James' Park,Tony Harrington,Match Report,
31,Tue,02/04/2024,19:30,Nott'ham Forest,Fulham,"28,997",The City Ground,Michael Oliver,Match Report,
31,Tue,02/04/2024,19:45,Bournemouth,Crystal Palace,"11,058",Vitality Stadium,Graham Scott,Match Report,
31,Tue,02/04/2024,19:45,Burnley,Wolves,"21,528",Turf Moor,Thomas Bramall,Match Report,
31,Tue,02/04/2024,20:15,West Ham,Tottenham,"62,469",London Stadium,John Brooks,Match Report,
31,Wed,03/04/2024,19:30,Arsenal,Luton Town,"60,262",Emirates Stadium,Craig Pawson,Match Report,
31,Wed,03/04/2024,19:30,Brentford,Brighton,"17,024",Gtech Community Stadium,Andy Madley,Match Report,
31,Wed,03/04/2024,20:15,Manchester City,Aston Villa,"53,422",Etihad Stadium,Darren England,Match Report,
31,Thu,04/04/2024,19:30,Liverpool,Sheffield Utd,"60,055",Anfield,Stuart Attwell,Match Report,
31,Thu,04/04/2024,20:15,Chelsea,Manchester Utd,"39,694",Stamford Bridge,Jarred Gillett,Match Report,
