Wk,Day,Date,Time,Home,Away,Attendance,Venue,Referee,Match Report,Notes
7,Sat,30/09/2023,12:30,Aston Villa,Brighton,"40,636",Villa Park,Andy Madley,Match Report,
7,Sat,30/09/2023,15:00,Wolves,Manchester City,"31,415",Molineux Stadium,Craig Pawson,Match Report,
7,Sat,30/09/2023,15:00,Bournemouth,Arsenal,,Vitality Stadium,Michael Salisbury,Match Report,
7,Sat,30/09/2023,15:00,Everton,Luton Town,,Goodison Park,Anthony Taylor,Match Report,
7,Sat,30/09/2023,15:00,Newcastle Utd,Burnley,,St James' Park,Thomas Bramall,Match Report,
7,Sat,30/09/2023,15:00,West Ham,Sheffield Utd,"62,459",London Stadium,Graham Scott,Match Report,
7,Sat,30/09/2023,15:00,Manchester Utd,Crystal Palace,"73,428",Old Trafford,Chris Kavanagh,Match Report,
7,Sat,30/09/2023,17:30,Tottenham,Liverpool,"62,001",Tottenham Hotspur Stadium,Simon Hooper,Match Report,
7,Sun,01/10/2023,14:00,Nott'ham Forest,Brentford,"29,004",The City Ground,Paul Tierney,Match Report,
7,Mon,02/10/2023,20:00,Fulham,Chelsea,"24,445",Craven Cottage,Tim Robinson,Match Report,
2,Tue,03/10/2023,19:30,Luton Town,Burnley,,Kenilworth Road Stadium,,Head-to-Head,
