Wk,Day,Date,Time,Home,Away,Attendance,Venue,Referee,Match Report,Notes
1,Fri,11/08/2023,20:00,Burnley,Manchester City,"21,572",Turf Moor,Craig Pawson,Match Report,
1,Sat,12/08/2023,12:30,Arsenal,Nott'ham Forest,"59,984",Emirates Stadium,Michael Oliver,Match Report,
1,Sat,12/08/2023,15:00,Everton,Fulham,"39,940",Goodison Park,Stuart Attwell,Match Report,
1,Sat,12/08/2023,15:00,Sheffield Utd,Crystal Palace,"31,194",Bramall Lane,John Brooks,Match Report,
1,Sat,12/08/2023,15:00,Brighton,Luton Town,"31,872",The American Express Community Stadium,David Coote,Match Report,
1,Sat,12/08/2023,15:00,Bournemouth,West Ham,"11,245",Vitality Stadium,Peter Bankes,Match Report,
1,Sat,12/08/2023,17:30,Newcastle Utd,Aston Villa,"52,207",St James' Park,Andy Madley,Match Report,
1,Sun,13/08/2023,14:00,Brentford,Tottenham,"17,066",Brentford Community Stadium,Robert Jones,Match Report,
1,Sun,13/08/2023,16:30,Chelsea,Liverpool,"40,096",Stamford Bridge,Anthony Taylor,Match Report,
1,Mon,14/08/2023,20:00,Manchester Utd,Wolves,"73,358",Old Trafford,Simon Hooper,Match Report,
