Wk,Day,Date,Time,Home,Away,Attendance,Venue,Referee,Match Report,Notes
6,Sat,23/09/2023,15:00,Manchester City,Nott'ham Forest,"53,413",Etihad Stadium,Anthony Taylor,Match Report,
6,Sat,23/09/2023,15:00,Luton Town,Wolves,"10,893",Kenilworth Road Stadium,Joshua Smith,Match Report,
6,Sat,23/09/2023,15:00,Crystal Palace,Fulham,"25,072",Selhurst Park,Paul Tierney,Match Report,
6,Sat,23/09/2023,17:30,Brentford,Everton,"16,981",Gtech Community Stadium,Michael Oliver,Match Report,
6,Sat,23/09/2023,20:00,Burnley,Manchester Utd,"21,593",Turf Moor,Tony Harrington,Match Report,
6,Sun,24/09/2023,14:00,Arsenal,Tottenham,"60,156",Emirates Stadium,Robert Jones,Match Report,
6,Sun,24/09/2023,14:00,Brighton,Bournemouth,"31,617",The American Express Community Stadium,John Brooks,Match Report,
6,Sun,24/09/2023,14:00,Chelsea,Aston Villa,"39,700",Stamford Bridge,Jarred Gillett,Match Report,
6,Sun,24/09/2023,14:00,Liverpool,West Ham,"50,136",Anfield,Chris Kavanagh,Match Report,
6,Sun,24/09/2023,16:30,Sheffield Utd,Newcastle Utd,"31,127",Bramall Lane,Stuart Attwell,Match Report,
