Wk,Day,Date,Time,Home,Away,Attendance,Venue,Referee,Match Report,Notes
21,Fri,12/01/2024,19:45,Burnley,Luton Town,"20,155",Turf Moor,Tony Harrington,Match Report,
1,Sat,13/01/2024,12:30,Chelsea,Fulham,"39,643",Stamford Bridge,Anthony Taylor,Match Report,
21,Sat,13/01/2024,17:30,Newcastle Utd,Manchester City,"52,190",St James' Park,Chris Kavanagh,Match Report,
21,Sun,14/01/2024,14:00,Everton,Aston Villa,"39,284",Goodison Park,David Coote,Match Report,
21,Sun,14/01/2024,16:30,Manchester Utd,Tottenham,"73,489",Old Trafford,John Brooks,Match Report,
21,Sat,20/01/2024,12:30,Arsenal,Crystal Palace,"60,284",Emirates Stadium,Paul Tierney,Match Report,
21,Sat,20/01/2024,17:30,Brentford,Nott'ham Forest,"17,077",Gtech Community Stadium,Darren England,Match Report,
21,Sun,21/01/2024,14:00,Sheffield Utd,West Ham,"29,164",Bramall Lane,Michael Salisbury,Match Report,
21,Sun,21/01/2024,16:30,Bournemouth,Liverpool,"11,228",Vitality Stadium,Andy Madley,Match Report,
21,Mon,22/01/2024,19:45,Brighton,Wolves,"41,505",The American Express Community Stadium,Craig Pawson,Match Report,
