Wk,Day,Date,Time,Home,Away,Attendance,Venue,Referee,Match Report,Notes
28,Sat,09/03/2024,12:30,Manchester Utd,Everton,"73,601",Old Trafford,Simon Hooper,Match Report,
28,Sat,09/03/2024,15:00,Bournemouth,Sheffield Utd,"11,074",Vitality Stadium,Anthony Taylor,Match Report,
28,Sat,09/03/2024,15:00,Wolves,Fulham,"30,860",Molineux Stadium,Tony Harrington,Match Report,
28,Sat,09/03/2024,15:00,Crystal Palace,Luton Town,"25,103",Selhurst Park,Sunny Singh,Match Report,
28,Sat,09/03/2024,17:30,Arsenal,Brentford,"60,331",Emirates Stadium,Robert Jones,Match Report,
28,Sun,10/03/2024,13:00,Aston Villa,Tottenham,"42,310",Villa Park,Chris Kavanagh,Match Report,
28,Sun,10/03/2024,14:00,West Ham,Burnley,"62,441",London Stadium,Darren England,Match Report,
28,Sun,10/03/2024,14:00,Brighton,Nott'ham Forest,"31,505",The American Express Community Stadium,Michael Salisbury,Match Report,
28,Sun,10/03/2024,15:45,Liverpool,Manchester City,"59,947",Anfield,Michael Oliver,Match Report,
28,Mon,11/03/2024,20:00,Chelsea,Newcastle Utd,"37,753",Stamford Bridge,John Brooks,Match Report,
17,Wed,13/03/2024,19:30,Bournemouth,Luton Town,"11,198",Vitality Stadium,Samuel Allison,Match Report,
