Wk,Day,Date,Time,Home,Away,Attendance,Venue,Referee,Match Report,Notes
30,Sat,30/03/2024,12:30,Newcastle Utd,West Ham,"52,199",St James' Park,Robert Jones,Match Report,
30,Sat,30/03/2024,15:00,Bournemouth,Everton,"11,207",Vitality Stadium,Samuel Barrott,Match Report,
30,Sat,30/03/2024,15:00,Tottenham,Luton Town,"61,534",Tottenham Hotspur Stadium,Jarred Gillett,Match Report,
30,Sat,30/03/2024,15:00,Nott'ham Forest,Crystal Palace,"29,520",The City Ground,Chris Kavanagh,Match Report,
30,Sat,30/03/2024,15:00,Sheffield Utd,Fulham,"30,010",Bramall Lane,Tim Robinson,Match Report,
30,Sat,30/03/2024,15:00,Chelsea,Burnley,"39,535",Stamford Bridge,Darren England,Match Report,
30,Sat,30/03/2024,17:30,Aston Villa,Wolves,"42,640",Villa Park,Paul Tierney,Match Report,
30,Sat,30/03/2024,20:00,Brentford,Manchester Utd,"17,138",Gtech Community Stadium,Simon Hooper,Match Report,
30,Sun,31/03/2024,14:00,Liverpool,Brighton,"60,061",Anfield,David Coote,Match Report,
30,Sun,31/03/2024,16:30,Manchester City,Arsenal,"52,178",Etihad Stadium,Anthony Taylor,Match Report,
