Wk,Day,Date,Time,Home,Away,Attendance,Venue,Referee,Match Report,Notes
35,Sat,27/04/2024,12:30,West Ham,Liverpool,"62,474",London Stadium,Anthony Taylor,Match Report,
35,Sat,27/04/2024,15:00,Wolves,Luton Town,"31,531",Molineux Stadium,David Coote,Match Report,
35,Sat,27/04/2024,15:00,Fulham,Crystal Palace,"24,142",Craven Cottage,Stuart Attwell,Match Report,
35,Sat,27/04/2024,15:00,Manchester Utd,Burnley,"73,571",Old Trafford,John Brooks,Match Report,
35,Sat,27/04/2024,15:00,Newcastle Utd,Sheffield Utd,"52,196",St James' Park,Tony Harrington,Match Report,
35,Sat,27/04/2024,17:30,Everton,Brentford,"39,098",Goodison Park,Darren England,Match Report,
35,Sat,27/04/2024,20:00,Aston Villa,Chelsea,"42,354",Villa Park,Craig Pawson,Match Report,
35,Sun,28/04/2024,14:00,Tottenham,Arsenal,"61,554",Tottenham Hotspur Stadium,Michael Oliver,Match Report,
35,Sun,28/04/2024,14:00,Bournemouth,Brighton,"11,188",Vitality Stadium,Paul Tierney,Match Report,
35,Sun,28/04/2024,16:30,Nott'ham Forest,Manchester City,"29,677",The City Ground,Simon Hooper,Match Report,
26,Thu,02/05/2024,19:30,Chelsea,Tottenham,"39,086",Stamford Bridge,Robert Jones,Match Report,
