Wk,Day,Date,Time,Home,Away,Attendance,Venue,Referee,Match Report,Notes
11,Sat,04/11/2023,12:30,Fulham,Manchester Utd,"24,415",Craven Cottage,John Brooks,Match Report,
11,Sat,04/11/2023,15:00,Brentford,West Ham,"17,103",Gtech Community Stadium,Thomas Bramall,Match Report,
11,Sat,04/11/2023,15:00,Everton,Brighton,"38,683",Goodison Park,Tim Robinson,Match Report,
11,Sat,04/11/2023,15:00,Burnley,Crystal Palace,"21,578",Turf Moor,Peter Bankes,Match Report,
11,Sat,04/11/2023,15:00,Manchester City,Bournemouth,"53,358",Etihad Stadium,Craig Pawson,Match Report,
11,Sat,04/11/2023,15:00,Sheffield Utd,Wolves,"29,454",Bramall Lane,Robert Jones,Match Report,
11,Sat,04/11/2023,17:30,Newcastle Utd,Arsenal,"52,194",St James' Park,Stuart Attwell,Match Report,
11,Sun,05/11/2023,14:00,Nott'ham Forest,Aston Villa,"29,313",The City Ground,Jarred Gillett,Match Report,
11,Sun,05/11/2023,16:30,Luton Town,Liverpool,"11,049",Kenilworth Road Stadium,Andy Madley,Match Report,
11,Mon,06/11/2023,20:00,Tottenham,Chelsea,"61,726",Tottenham Hotspur Stadium,Michael Oliver,Match Report,
