Wk,Day,Date,Time,Home,Away,Attendance,Venue,Referee,Match Report,Notes
25,Sat,17/02/2024,12:30,Brentford,Liverpool,"17,193",Gtech Community Stadium,Michael Oliver,Match Report,
25,Sat,17/02/2024,15:00,Newcastle Utd,Bournemouth,"52,224",St James' Park,Michael Salisbury,Match Report,
25,Sat,17/02/2024,15:00,Tottenham,Wolves,"61,532",Tottenham Hotspur Stadium,Anthony Taylor,Match Report,
25,Sat,17/02/2024,15:00,Burnley,Arsenal,"21,311",Turf Moor,Jarred Gillett,Match Report,
25,Sat,17/02/2024,15:00,Fulham,Aston Villa,"24,401",Craven Cottage,Lewis Smith,Match Report,
25,Sat,17/02/2024,15:00,Nott'ham Forest,West Ham,"29,490",The City Ground,Thomas Bramall,Match Report,
25,Sat,17/02/2024,17:30,Manchester City,Chelsea,"52,178",Etihad Stadium,Andy Madley,Match Report,
25,Sun,18/02/2024,14:00,Sheffield Utd,Brighton,"29,522",Bramall Lane,Stuart Attwell,Match Report,
25,Sun,18/02/2024,16:30,Luton Town,Manchester Utd,"11,483",Kenilworth Road Stadium,David Coote,Match Report,
25,Mon,19/02/2024,20:00,Everton,Crystal Palace,"38,164",Goodison Park,Paul Tierney,Match Report,
18,Tue,20/02/2024,19:30,Manchester City,Brentford,"52,247",Etihad Stadium,Darren England,Match Report,
