Wk,Day,Date,Time,Home,Away,Attendance,Venue,Referee,Match Report,Notes
3,Fri,25/08/2023,20:00,Chelsea,Luton Town,,Stamford Bridge,,Head-to-Head,
3,Sat,26/08/2023,12:30,Bournemouth,Tottenham,,Vitality Stadium,,Head-to-Head,
3,Sat,26/08/2023,15:00,Everton,Wolves,,Goodison Park,,Head-to-Head,
3,Sat,26/08/2023,15:00,Brentford,Crystal Palace,,Brentford Community Stadium,,Head-to-Head,
3,Sat,26/08/2023,15:00,Manchester Utd,Nott'ham Forest,,Old Trafford,,Head-to-Head,
3,Sat,26/08/2023,15:00,Arsenal,Fulham,,Emirates Stadium,,Head-to-Head,
3,Sat,26/08/2023,17:30,Brighton,West Ham,,The American Express Community Stadium,,Head-to-Head,
3,Sun,27/08/2023,14:00,Sheffield Utd,Manchester City,,Bramall Lane,,Head-to-Head,
3,Sun,27/08/2023,14:00,Burnley,Aston Villa,,Turf Moor,,Head-to-Head,
3,Sun,27/08/2023,16:30,Newcastle Utd,Liverpool,,St James' Park,,Head-to-Head,
