Wk,Day,Date,Time,Home,Away,Attendance,Venue,Referee,Match Report,Notes
19,Tue,26/12/2023,12:30,Newcastle Utd,Nott'ham Forest,"52,207",St James' Park,Chris Kavanagh,Match Report,
19,Tue,26/12/2023,15:00,Bournemouth,Fulham,"11,099",Vitality Stadium,Tim Robinson,Match Report,
19,Tue,26/12/2023,15:00,Sheffield Utd,Luton Town,"31,041",Bramall Lane,Samuel Allison,Match Report,
19,Tue,26/12/2023,17:30,Burnley,Liverpool,"21,624",Turf Moor,Paul Tierney,Match Report,
19,Tue,26/12/2023,20:00,Manchester Utd,Aston Villa,"73,574",Old Trafford,Craig Pawson,Match Report,
19,Wed,27/12/2023,19:30,Chelsea,Crystal Palace,"39,618",Stamford Bridge,Michael Salisbury,Match Report,
19,Wed,27/12/2023,19:30,Brentford,Wolves,"17,109",Gtech Community Stadium,Andy Madley,Match Report,
19,Wed,27/12/2023,20:15,Everton,Manchester City,"39,327",Goodison Park,John Brooks,Match Report,
19,Thu,28/12/2023,19:30,Brighton,Tottenham,"31,675",The American Express Community Stadium,Jarred Gillett,Match Report,
19,Thu,28/12/2023,20:15,Arsenal,West Ham,"60,261",Emirates Stadium,Michael Oliver,Match Report,
