Wk,Day,Date,Time,Home,Away,Attendance,Venue,Referee,Match Report,Notes
13,Sat,25/11/2023,12:30,Manchester City,Liverpool,"53,289",Etihad Stadium,Chris Kavanagh,Match Report,
13,Sat,25/11/2023,15:00,Burnley,West Ham,"21,319",Turf Moor,Samuel Barrott,Match Report,
13,Sat,25/11/2023,15:00,Nott'ham Forest,Brighton,"29,404",The City Ground,Anthony Taylor,Match Report,
13,Sat,25/11/2023,15:00,Sheffield Utd,Bournemouth,"30,208",Bramall Lane,Andy Madley,Match Report,
13,Sat,25/11/2023,15:00,Newcastle Utd,Chelsea,"52,227",St James' Park,Simon Hooper,Match Report,
13,Sat,25/11/2023,15:00,Luton Town,Crystal Palace,"11,029",Kenilworth Road Stadium,Jarred Gillett,Match Report,
13,Sat,25/11/2023,17:30,Brentford,Arsenal,"17,201",Gtech Community Stadium,Tim Robinson,Match Report,
3,Sun,26/11/2023,14:00,Tottenham,Aston Villa,"61,679",Tottenham Hotspur Stadium,Robert Jones,Match Report,
13,Sun,26/11/2023,16:30,Everton,Manchester Utd,"39,257",Goodison Park,John Brooks,Match Report,
13,Mon,27/11/2023,20:00,Fulham,Wolves,"24,366",Craven Cottage,Michael Salisbury,Match Report,
