Wk,Day,Date,Time,Home,Away,Attendance,Venue,Referee,Match Report,Notes
15,Tue,05/12/2023,19:30,Wolves,Burnley,"30,439",Molineux Stadium,Jarred Gillett,Match Report,
15,Tue,05/12/2023,20:15,Luton Town,Arsenal,"11,031",Kenilworth Road Stadium,Samuel Barrott,Match Report,
15,Wed,06/12/2023,19:30,Sheffield Utd,Liverpool,"31,406",Bramall Lane,Simon Hooper,Match Report,
15,Wed,06/12/2023,19:30,Crystal Palace,Bournemouth,"25,078",Selhurst Park,Craig Pawson,Match Report,
15,Wed,06/12/2023,19:30,Brighton,Brentford,"31,571",The American Express Community Stadium,Peter Bankes,Match Report,
15,Wed,06/12/2023,19:30,Fulham,Nott'ham Forest,"24,105",Craven Cottage,Joshua Smith,Match Report,
15,Wed,06/12/2023,20:15,Aston Villa,Manchester City,"41,421",Villa Park,John Brooks,Match Report,
15,Wed,06/12/2023,20:15,Manchester Utd,Chelsea,"73,607",Old Trafford,Chris Kavanagh,Match Report,
15,Thu,07/12/2023,19:30,Everton,Newcastle Utd,"38,198",Goodison Park,Tim Robinson,Match Report,
15,Thu,07/12/2023,20:15,Tottenham,West Ham,"61,171",Tottenham Hotspur Stadium,Michael Salisbury,Match Report,
