Wk,Day,Date,Time,Home,Away,Attendance,Venue,Referee,Match Report,Notes
24,Sat,10/02/2024,12:30,Manchester City,Everton,"52,187",Etihad Stadium,John Brooks,Match Report,
24,Sat,10/02/2024,15:00,Luton Town,Sheffield Utd,"11,138",Kenilworth Road Stadium,Chris Kavanagh,Match Report,
24,Sat,10/02/2024,15:00,Liverpool,Burnley,"59,896",Anfield,Tim Robinson,Match Report,
24,Sat,10/02/2024,15:00,Wolves,Brentford,"30,731",Molineux Stadium,Simon Hooper,Match Report,
24,Sat,10/02/2024,15:00,Fulham,Bournemouth,"24,271",Craven Cottage,Darren England,Match Report,
24,Sat,10/02/2024,15:00,Tottenham,Brighton,"61,445",Tottenham Hotspur Stadium,Samuel Barrott,Match Report,
24,Sat,10/02/2024,17:30,Nott'ham Forest,Newcastle Utd,"29,451",The City Ground,Anthony Taylor,Match Report,
24,Sun,11/02/2024,14:00,West Ham,Arsenal,"62,475",London Stadium,Craig Pawson,Match Report,
24,Sun,11/02/2024,16:30,Aston Villa,Manchester Utd,"42,185",Villa Park,Robert Jones,Match Report,
24,Mon,12/02/2024,20:00,Crystal Palace,Chelsea,"25,110",Selhurst Park,Michael Oliver,Match Report,
