Wk,Day,Date,Time,Home,Away,Attendance,Venue,Referee,Match Report,Notes
12,Sat,11/11/2023,12:30,Wolves,Tottenham,"31,642",Molineux Stadium,Tim Robinson,Match Report,
12,Sat,11/11/2023,15:00,Arsenal,Burnley,"60,232",Emirates Stadium,Michael Oliver,Match Report,
12,Sat,11/11/2023,15:00,Manchester Utd,Luton Town,"73,599",Old Trafford,Graham Scott,Match Report,
12,Sat,11/11/2023,15:00,Crystal Palace,Everton,"25,103",Selhurst Park,Samuel Barrott,Match Report,
12,Sat,11/11/2023,17:30,Bournemouth,Newcastle Utd,"11,201",Vitality Stadium,Chris Kavanagh,Match Report,
12,Sun,12/11/2023,14:00,West Ham,Nott'ham Forest,"62,470",London Stadium,Michael Salisbury,Match Report,
12,Sun,12/11/2023,14:00,Liverpool,Brentford,"50,151",Anfield,Paul Tierney,Match Report,
12,Sun,12/11/2023,14:00,Aston Villa,Fulham,"41,608",Villa Park,Simon Hooper,Match Report,
12,Sun,12/11/2023,14:00,Brighton,Sheffield Utd,"31,367",The American Express Community Stadium,John Brooks,Match Report,
12,Sun,12/11/2023,16:30,Chelsea,Manchester City,"39,532",Stamford Bridge,Anthony Taylor,Match Report,
