Wk,Day,Date,Time,Home,Away,Attendance,Venue,Referee,Match Report,Notes
24,Sat,31/01/2026,15:00,Leeds United,Arsenal,,Elland Road,,Head-to-Head,
24,Sat,31/01/2026,15:00,Brighton,Everton,,The American Express Stadium,,Head-to-Head,
24,Sat,31/01/2026,15:00,Wolves,Bournemouth,,Molineux Stadium,,Head-to-Head,
24,Sat,31/01/2026,17:30,Chelsea,West Ham United,,Stamford Bridge,,Head-to-Head,
24,Sat,31/01/2026,20:00,Liverpool,Newcastle United,,Anfield,,Head-to-Head,
24,Sun,01/02/2026,14:00,Nottingham Forest,Crystal Palace,,The City Ground,,Head-to-Head,
24,Sun,01/02/2026,14:00,Manchester Utd,Fulham,,Old Trafford,,Head-to-Head,
24,Sun,01/02/2026,14:00,Aston Villa,Brentford,,Villa Park,,Head-to-Head,
24,Sun,01/02/2026,16:30,Tottenham Hotspur,Manchester City,,Tottenham Hotspur Stadium,,Head-to-Head,
24,Mon,02/02/2026,20:00,Sunderland,Burnley,,Stadium of Light,,Head-to-Head,
