Wk,Day,Date,Time,Home,Away,Attendance,Venue,Referee,Match Report,Notes
9,Fri,24/10/2025,20:00,Leeds United,West Ham,"36,788",Elland Road,Stuart Attwell,Match Report,
9,Sat,25/10/2025,15:00,Newcastle Utd,Fulham,"52,152",St James' Park,Peter Bankes,Match Report,
9,Sat,25/10/2025,15:00,Chelsea,Sunderland,"39,489",Stamford Bridge,Andy Madley,Match Report,
9,Sat,25/10/2025,17:30,Manchester Utd,Brighton,"74,124",Old Trafford,Anthony Taylor,Match Report,
9,Sat,25/10/2025,20:00,Brentford,Liverpool,"17,214",Gtech Community Stadium,Simon Hooper,Match Report,
9,Sun,26/10/2025,14:00,Arsenal,Crystal Palace,"60,103",Emirates Stadium,Thomas Bramall,Match Report,
9,Sun,26/10/2025,14:00,Aston Villa,Manchester City,"41,988",Villa Park,Michael Oliver,Match Report,
9,Sun,26/10/2025,14:00,Wolves,Burnley,"29,116",Molineux Stadium,Tony Harrington,Match Report,
9,Sun,26/10/2025,14:00,Bournemouth,Nott'ham Forest,"11,204",Vitality Stadium,Samuel Barrott,Match Report,
9,Sun,26/10/2025,16:30,Everton,Tottenham,"51,781",Hill Dickinson Stadium,Craig Pawson,Match Report,
