Wk,Day,Date,Time,Home,Away,Attendance,Venue,Referee,Match Report,Notes
21,Tue,06/01/2026,20:00,West Ham United,Nottingham Forest,"62,429",London Stadium,Tony Harrington,Match Report,
21,Wed,07/01/2026,19:30,Crystal Palace,Aston Villa,"24,841",Selhurst Park,Andy Madley,Match Report,
21,Wed,07/01/2026,19:30,Everton,Wolves,"51,768",Hill Dickinson Stadium,Thomas Kirk,Match Report,
21,Wed,07/01/2026,19:30,Fulham,Chelsea,"26,990",Craven Cottage,Peter Bankes,Match Report,
21,Wed,07/01/2026,19:30,Brentford,Sunderland,"17,016",Gtech Community Stadium,Matt Donohue,Match Report,
21,Wed,07/01/2026,19:30,Manchester City,Brighton,"51,728",Etihad Stadium,Thomas Bramall,Match Report,
21,Wed,07/01/2026,19:30,Bournemouth,Tottenham Hotspur,"11,212",Vitality Stadium,Darren England,Match Report,
21,Wed,07/01/2026,20:15,Burnley,Manchester Utd,"21,047",Turf Moor,Stuart Attwell,Match Report,
21,Wed,07/01/2026,20:15,Newcastle United,Leeds United,"51,176",St James' Park,Michael Salisbury,Match Report,
21,Thu,08/01/2026,20:00,Arsenal,Liverpool,"60,258",Emirates Stadium,Anthony Taylor,Match Report,
