Wk,Day,Date,Time,Home,Away,Attendance,Venue,Referee,Match Report,Notes
16,Sat,13/12/2025,15:00,Chelsea,Everton,"39,552",Stamford Bridge,Thomas Bramall,Match Report,
16,Sat,13/12/2025,15:00,Liverpool,Brighton,"60,429",Anfield,Craig Pawson,Match Report,
16,Sat,13/12/2025,17:30,Burnley,Fulham,"19,739",Turf Moor,Michael Oliver,Match Report,
16,Sat,13/12/2025,20:00,Arsenal,Wolves,"60,242",Emirates Stadium,Robert Jones,Match Report,
16,Sun,14/12/2025,14:00,Sunderland,Newcastle United,"47,158",Stadium of Light,Peter Bankes,Match Report,
16,Sun,14/12/2025,14:00,West Ham United,Aston Villa,"62,447",London Stadium,Anthony Taylor,Match Report,
16,Sun,14/12/2025,14:00,Crystal Palace,Manchester City,"25,166",Selhurst Park,Darren England,Match Report,
16,Sun,14/12/2025,14:00,Nottingham Forest,Tottenham Hotspur,"30,579",The City Ground,Samuel Barrott,Match Report,
16,Sun,14/12/2025,16:30,Brentford,Leeds United,"17,159",Gtech Community Stadium,John Brooks,Match Report,
16,Mon,15/12/2025,20:00,Manchester Utd,Bournemouth,"73,951",Old Trafford,Simon Hooper,Match Report,
