Wk,Day,Date,Time,Home,Away,Attendance,Venue,Referee,Match Report,Notes
22,Sat,17/01/2026,12:30,Manchester Utd,Manchester City,"74,004",Old Trafford,Anthony Taylor,Match Report,
22,Sat,17/01/2026,15:00,Tottenham Hotspur,West Ham United,"60,857",Tottenham Hotspur Stadium,Jarred Gillett,Match Report,
22,Sat,17/01/2026,15:00,Liverpool,Burnley,"60,431",Anfield,Andy Madley,Match Report,
22,Sat,17/01/2026,15:00,Chelsea,Brentford,"39,704",Stamford Bridge,John Brooks,Match Report,
22,Sat,17/01/2026,15:00,Leeds United,Fulham,"36,300",Elland Road,Chris Kavanagh,Match Report,
22,Sat,17/01/2026,15:00,Sunderland,Crystal Palace,"47,257",Stadium of Light,Robert Jones,Match Report,
22,Sat,17/01/2026,17:30,Nottingham Forest,Arsenal,"30,729",The City Ground,Michael Oliver,Match Report,
22,Sun,18/01/2026,14:00,Wolves,Newcastle United,"29,751",Molineux Stadium,Samuel Barrott,Match Report,
22,Sun,18/01/2026,16:30,Aston Villa,Everton,"43,059",Villa Park,Tony Harrington,Match Report,
22,Mon,19/01/2026,20:00,Brighton,Bournemouth,"30,172",The American Express Stadium,Paul Tierney,Match Report,
