Wk,Day,Date,Time,Home,Away,Attendance,Venue,Referee,Match Report,Notes
32,Fri,10/04/2026,20:00,West Ham United,Wolves,"62,457",London Stadium,Jarred Gillett,Match Report,
32,Sat,11/04/2026,12:30,Arsenal,Bournemouth,"60,210",Emirates Stadium,Michael Oliver,Match Report,
32,Sat,11/04/2026,15:00,Burnley,Brighton,"20,408",Turf Moor,Thomas Bramall,Match Report,
32,Sat,11/04/2026,15:00,Brentford,Everton,"17,220",Gtech Community Stadium,Farai Hallam,Match Report,
32,Sat,11/04/2026,17:30,Liverpool,Fulham,"60,401",Anfield,Anthony Taylor,Match Report,
32,Sun,12/04/2026,14:00,Crystal Palace,Newcastle United,"25,141",Selhurst Park,Andy Madley,Match Report,
32,Sun,12/04/2026,14:00,Nottingham Forest,Aston Villa,"30,591",The City Ground,Michael Salisbury,Match Report,
32,Sun,12/04/2026,14:00,Sunderland,Tottenham Hotspur,"47,010",Stadium of Light,Robert Jones,Match Report,
32,Sun,12/04/2026,16:30,Chelsea,Manchester City,,Stamford Bridge,Chris Kavanagh,Match Report,
32,Mon,13/04/2026,20:00,Manchester Utd,Leeds United,,Old Trafford,,Head-to-Head,
