Wk,Day,Date,Time,Home,Away,Attendance,Venue,Referee,Match Report,Notes
13,Sat,29/11/2025,15:00,Sunderland,Bournemouth,"46,973",Stadium of Light,Tim Robinson,Match Report,
13,Sat,29/11/2025,15:00,Brentford,Burnley,"17,176",Gtech Community Stadium,Samuel Barrott,Match Report,
13,Sat,29/11/2025,15:00,Manchester City,Leeds United,"52,483",Etihad Stadium,Peter Bankes,Match Report,
13,Sat,29/11/2025,17:30,Everton,Newcastle United,"52,489",Hill Dickinson Stadium,Craig Pawson,Match Report,
13,Sat,29/11/2025,20:00,Tottenham Hotspur,Fulham,"60,546",Tottenham Hotspur Stadium,Stuart Attwell,Match Report,
13,Sun,30/11/2025,12:00,Crystal Palace,Manchester Utd,"25,189",Selhurst Park,Robert Jones,Match Report,
13,Sun,30/11/2025,14:05,Nottingham Forest,Brighton,"30,522",The City Ground,Michael Oliver,Match Report,
13,Sun,30/11/2025,14:05,Aston Villa,Wolves,"42,139",Villa Park,Chris Kavanagh,Match Report,
13,Sun,30/11/2025,14:05,West Ham United,Liverpool,"62,469",London Stadium,Darren England,Match Report,
13,Sun,30/11/2025,16:30,Chelsea,Arsenal,"39,820",Stamford Bridge,Anthony Taylor,Match Report,
