Wk,Day,Date,Time,Home,Away,Attendance,Venue,Referee,Match Report,Notes
30,Sat,14/03/2026,15:00,Sunderland,Brighton,"45,497",Stadium of Light,Thomas Kirk,Match Report,
30,Sat,14/03/2026,15:00,Burnley,Bournemouth,"20,281",Turf Moor,Peter Bankes,Match Report,
30,Sat,14/03/2026,17:30,Arsenal,Everton,"60,176",Emirates Stadium,Andy Madley,Match Report,
30,Sat,14/03/2026,17:30,Chelsea,Newcastle United,"39,587",Stamford Bridge,Paul Tierney,Match Report,
30,Sat,14/03/2026,20:00,West Ham United,Manchester City,"62,459",London Stadium,Michael Oliver,Match Report,
30,Sun,15/03/2026,14:00,Nottingham Forest,Fulham,"30,013",The City Ground,Samuel Barrott,Match Report,
30,Sun,15/03/2026,14:00,Crystal Palace,Leeds United,"25,155",Selhurst Park,Thomas Bramall,Match Report,
30,Sun,15/03/2026,14:00,Manchester Utd,Aston Villa,"73,997",Old Trafford,Anthony Taylor,Match Report,
30,Sun,15/03/2026,16:30,Liverpool,Tottenham Hotspur,"60,248",Anfield,Chris Kavanagh,Match Report,
30,Mon,16/03/2026,20:00,Brentford,Wolves,"17,155",Gtech Community Stadium,Stuart Attwell,Match Report,
