Wk,Day,Date,Time,Home,Away,Attendance,Venue,Referee,Match Report,Notes
12,Sat,22/11/2025,12:30,Burnley,Chelsea,"21,499",Turf Moor,Peter Bankes,Match Report,
12,Sat,22/11/2025,15:00,Bournemouth,West Ham United,"11,216",Vitality Stadium,Thomas Bramall,Match Report,
12,Sat,22/11/2025,15:00,Fulham,Sunderland,"27,560",Craven Cottage,Darren England,Match Report,
12,Sat,22/11/2025,15:00,Wolves,Crystal Palace,"29,976",Molineux Stadium,Anthony Taylor,Match Report,
12,Sat,22/11/2025,15:00,Liverpool,Nottingham Forest,"60,419",Anfield,Andy Madley,Match Report,
12,Sat,22/11/2025,15:00,Brighton,Brentford,"31,458",The American Express Stadium,Chris Kavanagh,Match Report,
12,Sat,22/11/2025,17:30,Newcastle United,Manchester City,"52,181",St James' Park,Samuel Barrott,Match Report,
12,Sun,23/11/2025,14:00,Leeds United,Aston Villa,"36,819",Elland Road,Robert Jones,Match Report,
12,Sun,23/11/2025,16:30,Arsenal,Tottenham Hotspur,"60,345",Emirates Stadium,Michael Oliver,Match Report,
12,Mon,24/11/2025,20:00,Manchester Utd,Everton,"74,158",Old Trafford,Tony Harrington,Match Report,
