Wk,Day,Date,Time,Home,Away,Attendance,Venue,Referee,Match Report,Notes
11,Sat,08/11/2025,12:30,Tottenham,Manchester Utd,"61,210",Tottenham Hotspur Stadium,Samuel Barrott,Match Report,
11,Sat,08/11/2025,15:00,West Ham,Burnley,,London Stadium,Michael Salisbury,Match Report,
11,Sat,08/11/2025,15:00,Everton,Fulham,"52,491",Hill Dickinson Stadium,Andy Madley,Match Report,
11,Sat,08/11/2025,17:30,Sunderland,Arsenal,"46,799",Stadium of Light,Craig Pawson,Match Report,
11,Sat,08/11/2025,20:00,Chelsea,Wolves,"39,467",Stamford Bridge,Andrew Kitchen,Match Report,
11,Sun,09/11/2025,14:00,Aston Villa,Bournemouth,,Villa Park,,Head-to-Head,
11,Sun,09/11/2025,14:00,Nott'ham Forest,Leeds United,,The City Ground,,Head-to-Head,
11,Sun,09/11/2025,14:00,Crystal Palace,Brighton,,Selhurst Park,,Head-to-Head,
11,Sun,09/11/2025,14:00,Brentford,Newcastle Utd,,Gtech Community Stadium,,Head-to-Head,
11,Sun,09/11/2025,16:30,Manchester City,Liverpool,,Etihad Stadium,,Head-to-Head,
