Wk,Day,Date,Time,Home,Away,Attendance,Venue,Referee,Match Report,Notes
27,Sat,21/02/2026,15:00,Chelsea,Burnley,"39,603",Stamford Bridge,Lewis Smith,Match Report,
27,Sat,21/02/2026,15:00,Brentford,Brighton,"17,163",Gtech Community Stadium,Jarred Gillett,Match Report,
27,Sat,21/02/2026,15:00,Aston Villa,Leeds United,"43,048",Villa Park,Michael Oliver,Match Report,
27,Sat,21/02/2026,17:30,West Ham United,Bournemouth,"62,437",London Stadium,Samuel Barrott,Match Report,
27,Sat,21/02/2026,20:00,Manchester City,Newcastle United,"52,187",Etihad Stadium,Thomas Bramall,Match Report,
27,Sun,22/02/2026,14:00,Sunderland,Fulham,"47,222",Stadium of Light,Craig Pawson,Match Report,
27,Sun,22/02/2026,14:00,Nottingham Forest,Liverpool,"30,737",The City Ground,Anthony Taylor,Match Report,
27,Sun,22/02/2026,14:00,Crystal Palace,Wolves,"24,547",Selhurst Park,Thomas Kirk,Match Report,
27,Sun,22/02/2026,16:30,Tottenham Hotspur,Arsenal,"61,439",Tottenham Hotspur Stadium,Peter Bankes,Match Report,
27,Mon,23/02/2026,20:00,Everton,Manchester Utd,"52,326",Hill Dickinson Stadium,Darren England,Match Report,
